,project_id,year_start,year_finish,sector,total_ammount,province,duration_days,status,region
199,16738,2015,2022,Water and Sewer,42570679318.0,ciudad autónoma de buenos aires,2876,Finished,Buenos Aires
200,16739,2015,2023,Water and Sewer,47998478784.0,buenos aires,3121,In progress,Buenos Aires
201,16740,2015,2023,Water and Sewer,82737599950.0,buenos aires,2997,Finished,Buenos Aires
202,16747,2016,2021,Water and Sewer,222703915.0,buenos aires,1557,Finished,Buenos Aires
203,16759,2018,2020,Water and Sewer,59776750.0,buenos aires,758,Finished,Buenos Aires
204,16760,2020,2022,Water and Sewer,420055606.0,buenos aires,569,Finished,Buenos Aires
205,16761,2017,2020,Water and Sewer,75409614.0,buenos aires,1324,Finished,Buenos Aires
206,16762,2019,2021,Water and Sewer,132231490.0,buenos aires,708,Finished,Buenos Aires
207,16763,2021,2024,Water and Sewer,716875711.0,buenos aires,1370,In progress,Buenos Aires
208,16764,2021,2023,Water and Sewer,771467436.0,buenos aires,625,Finished,Buenos Aires
209,16765,2019,2021,Water and Sewer,64545896.0,buenos aires,559,Finished,Buenos Aires
210,16766,2021,2022,Water and Sewer,308989388.0,buenos aires,476,Finished,Buenos Aires
211,16767,2020,2020,Water and Sewer,8718375.0,buenos aires,173,Finished,Buenos Aires
212,16768,2020,2021,Water and Sewer,30819870.0,buenos aires,276,In progress,Buenos Aires
213,16769,2020,2022,Water and Sewer,29970336.0,buenos aires,774,Finished,Buenos Aires
214,16771,2020,2021,Water and Sewer,29552890.0,buenos aires,156,In progress,Buenos Aires
215,16772,2020,2021,Water and Sewer,70591892.0,buenos aires,269,Finished,Buenos Aires
216,16777,2017,2024,Water and Sewer,36436067290.0,buenos aires,2523,In progress,Buenos Aires
217,16778,2017,2024,Water and Sewer,43725161043.0,buenos aires,2484,In progress,Buenos Aires
218,16781,2019,2023,Water and Sewer,306054159.0,buenos aires,1276,In progress,Buenos Aires
219,16785,2017,2021,Water and Sewer,285887537.0,buenos aires,1335,Finished,Buenos Aires
220,16806,2017,2020,Water and Sewer,88315424.0,buenos aires,1396,Finished,Buenos Aires
221,16808,2018,2021,Water and Sewer,1019142557.0,buenos aires,1289,Finished,Buenos Aires
222,16814,2018,2020,Water and Sewer,70199332.0,buenos aires,752,Finished,Buenos Aires
223,16818,2017,2020,Water and Sewer,545688219.0,buenos aires,1260,Finished,Buenos Aires
224,16819,2017,2020,Water and Sewer,592388414.0,buenos aires,1302,Finished,Buenos Aires
225,16820,2018,2021,Water and Sewer,204978511.0,buenos aires,1457,Finished,Buenos Aires
226,16830,2017,2020,Water and Sewer,97351329.0,buenos aires,1395,Finished,Buenos Aires
227,16838,2016,2021,Water and Sewer,1203536593.0,buenos aires,1936,Finished,Buenos Aires
228,16844,2018,2022,Water and Sewer,225627002.0,buenos aires,1806,Finished,Buenos Aires
229,16851,2018,2021,Water and Sewer,241932417.0,buenos aires,1151,Finished,Buenos Aires
230,16852,2020,2021,Water and Sewer,134255667.0,buenos aires,302,Finished,Buenos Aires
231,16859,2017,2021,Water and Sewer,101877137.0,buenos aires,1614,Finished,Buenos Aires
232,16860,2021,2024,Water and Sewer,1161837982.0,buenos aires,960,In progress,Buenos Aires
233,16861,2021,2021,Water and Sewer,281835358.0,buenos aires,330,Finished,Buenos Aires
234,16862,2020,2023,Water and Sewer,1646529554.0,buenos aires,1263,In progress,Buenos Aires
235,16863,2021,2023,Water and Sewer,976345985.0,buenos aires,900,In progress,Buenos Aires
236,16864,2018,2022,Water and Sewer,586533929.0,buenos aires,1424,Finished,Buenos Aires
237,16865,2020,2022,Water and Sewer,289943910.0,buenos aires,570,Finished,Buenos Aires
238,16868,2019,2020,Water and Sewer,34914685.0,buenos aires,698,Finished,Buenos Aires
239,16869,2021,2022,Water and Sewer,321150519.0,buenos aires,506,Finished,Buenos Aires
240,16871,2019,2020,Water and Sewer,24925999.0,buenos aires,305,Finished,Buenos Aires
241,16872,2019,2020,Water and Sewer,69905296.0,buenos aires,487,Finished,Buenos Aires
242,16873,2019,2021,Water and Sewer,50403304.0,buenos aires,547,Finished,Buenos Aires
243,16874,2019,2021,Water and Sewer,16366582.0,buenos aires,609,Finished,Buenos Aires
244,16875,2020,2021,Water and Sewer,117075497.0,buenos aires,305,Finished,Buenos Aires
245,16876,2020,2021,Water and Sewer,45532128.0,buenos aires,213,Finished,Buenos Aires
246,16877,2020,2020,Water and Sewer,45623534.0,buenos aires,72,Finished,Buenos Aires
247,16878,2020,2022,Water and Sewer,190006248.0,buenos aires,573,Finished,Buenos Aires
248,16879,2020,2022,Water and Sewer,181213621.0,buenos aires,483,Finished,Buenos Aires
249,16901,2018,2021,Water and Sewer,17685278.0,buenos aires,1071,Finished,Buenos Aires
